No,Periode,Desa,File
754.,KKN.XXIII.2021,MENGESTA A - TABANAN,KKN.XXIII.2021_MENGESTA_A__TABANAN\KKN.XXIII.2021_MENGESTA_A__TABANAN_combined.pdf
755.,KKN.XXIII.2021,MENGESTA B - TABANAN,KKN.XXIII.2021_MENGESTA_B__TABANAN\KKN.XXIII.2021_MENGESTA_B__TABANAN_combined.pdf
756.,KKN.XXIII.2021,SENGANAN - TABANAN,KKN.XXIII.2021_SENGANAN__TABANAN\KKN.XXIII.2021_SENGANAN__TABANAN_combined.pdf
757.,KKN.XXIII.2021,SENGANAN B - TABANAN,KKN.XXIII.2021_SENGANAN_B__TABANAN\KKN.XXIII.2021_SENGANAN_B__TABANAN_combined.pdf
758.,KKN.XXIII.2021,BELIMBING B - TABANAN,KKN.XXIII.2021_BELIMBING_B__TABANAN\KKN.XXIII.2021_BELIMBING_B__TABANAN_combined.pdf
759.,KKN.XXIII.2021,SANDA B - TABANAN,KKN.XXIII.2021_SANDA_B__TABANAN\KKN.XXIII.2021_SANDA_B__TABANAN_combined.pdf
760.,KKN.XXIII.2021,RIANG GEDE A - TABANAN,KKN.XXIII.2021_RIANG_GEDE_A__TABANAN\KKN.XXIII.2021_RIANG_GEDE_A__TABANAN_combined.pdf
761.,KKN.XXIII.2021,RIANG GEDE B - TABANAN,KKN.XXIII.2021_RIANG_GEDE_B__TABANAN\KKN.XXIII.2021_RIANG_GEDE_B__TABANAN_combined.pdf
762.,KKN.XXIII.2021,BANGBANG B - BANGLI,KKN.XXIII.2021_BANGBANG_B__BANGLI\KKN.XXIII.2021_BANGBANG_B__BANGLI_combined.pdf
763.,KKN.XXIII.2021,JEHEM 1 - BANGLI,KKN.XXIII.2021_JEHEM_1__BANGLI\KKN.XXIII.2021_JEHEM_1__BANGLI_combined.pdf
764.,KKN.XXIII.2021,PENINJOAN B - BANGLI,KKN.XXIII.2021_PENINJOAN_B__BANGLI\KKN.XXIII.2021_PENINJOAN_B__BANGLI_combined.pdf
765.,KKN.XXIII.2021,TEMBUKU B - BANGLI,KKN.XXIII.2021_TEMBUKU_B__BANGLI\KKN.XXIII.2021_TEMBUKU_B__BANGLI_combined.pdf
766.,KKN.XXIII.2021,UNDISAN B - BANGLI,KKN.XXIII.2021_UNDISAN_B__BANGLI\KKN.XXIII.2021_UNDISAN_B__BANGLI_combined.pdf
767.,KKN.XXIII.2021,YANGAPI B - BANGLI,KKN.XXIII.2021_YANGAPI_B__BANGLI\KKN.XXIII.2021_YANGAPI_B__BANGLI_combined.pdf
768.,KKN.XXIII.2021,BEBALANG - BANGLI,KKN.XXIII.2021_BEBALANG__BANGLI\KKN.XXIII.2021_BEBALANG__BANGLI_combined.pdf
769.,KKN.XXIII.2021,BEBALANG B - BANGLI,KKN.XXIII.2021_BEBALANG_B__BANGLI\KKN.XXIII.2021_BEBALANG_B__BANGLI_combined.pdf
770.,KKN.XXIII.2021,TAMAN BALI A - BANGLI,KKN.XXIII.2021_TAMAN_BALI_A__BANGLI\KKN.XXIII.2021_TAMAN_BALI_A__BANGLI_combined.pdf
771.,KKN.XXIII.2021,TAMAN BALI B - BANGLI,KKN.XXIII.2021_TAMAN_BALI_B__BANGLI\KKN.XXIII.2021_TAMAN_BALI_B__BANGLI_combined.pdf
772.,KKN.XXIII.2021,PESINGGAHAN B - KLUNGKUNG,KKN.XXIII.2021_PESINGGAHAN_B__KLUNGKUNG\KKN.XXIII.2021_PESINGGAHAN_B__KLUNGKUNG_combined.pdf
773.,KKN.XXIII.2021,SELAT (KLUNGKUNG) - KLUNGKUNG,KKN.XXIII.2021_SELAT_KLUNGKUNG__KLUNGKUNG\KKN.XXIII.2021_SELAT_KLUNGKUNG__KLUNGKUNG_combined.pdf
774.,KKN.XXIII.2021,SELAT B - KLUNGKUNG,KKN.XXIII.2021_SELAT_B__KLUNGKUNG\KKN.XXIII.2021_SELAT_B__KLUNGKUNG_combined.pdf
775.,KKN.XXIII.2021,PESABAN B - KARANGASEM,KKN.XXIII.2021_PESABAN_B__KARANGASEM\KKN.XXIII.2021_PESABAN_B__KARANGASEM_combined.pdf
776.,KKN.XXIII.2021,NONGAN B - KARANGASEM,KKN.XXIII.2021_NONGAN_B__KARANGASEM\KKN.XXIII.2021_NONGAN_B__KARANGASEM_combined.pdf
777.,KKN.XXIII.2021,SANGKAN GUNUNG B - KARANGASEM,KKN.XXIII.2021_SANGKAN_GUNUNG_B__KARANGASEM\KKN.XXIII.2021_SANGKAN_GUNUNG_B__KARANGASEM_combined.pdf
778.,KKN.XXIII.2021,WISMA KERTA B - KARANGASEM,KKN.XXIII.2021_WISMA_KERTA_B__KARANGASEM\KKN.XXIII.2021_WISMA_KERTA_B__KARANGASEM_combined.pdf
779.,KKN.XXIII.2021,TANGKUP B - KARANGASEM,KKN.XXIII.2021_TANGKUP_B__KARANGASEM\KKN.XXIII.2021_TANGKUP_B__KARANGASEM_combined.pdf
780.,KKN.XXIII.2021,LOKASARI B - KARANGASEM,KKN.XXIII.2021_LOKASARI_B__KARANGASEM\KKN.XXIII.2021_LOKASARI_B__KARANGASEM_combined.pdf
781.,KKN.XXIII.2021,KERTA BUANA B - KARANGASEM,KKN.XXIII.2021_KERTA_BUANA_B__KARANGASEM\KKN.XXIII.2021_KERTA_BUANA_B__KARANGASEM_combined.pdf
782.,KKN.XXIII.2021,TALIBENG B - KARANGASEM,KKN.XXIII.2021_TALIBENG_B__KARANGASEM\KKN.XXIII.2021_TALIBENG_B__KARANGASEM_combined.pdf
783.,KKN.XXIII.2021,TRI EKA BUANA B - KARANGASEM,KKN.XXIII.2021_TRI_EKA_BUANA_B__KARANGASEM\KKN.XXIII.2021_TRI_EKA_BUANA_B__KARANGASEM_combined.pdf
784.,KKN.XXIII.2021,GETAKAN B - KLUNGKUNG,KKN.XXIII.2021_GETAKAN_B__KLUNGKUNG\KKN.XXIII.2021_GETAKAN_B__KLUNGKUNG_combined.pdf
785.,KKN.XXIII.2021,TIMUHUN B - KLUNGKUNG,KKN.XXIII.2021_TIMUHUN_B__KLUNGKUNG\KKN.XXIII.2021_TIMUHUN_B__KLUNGKUNG_combined.pdf
786.,KKN.XXIII.2021,BAKAS B - KLUNGKUNG,KKN.XXIII.2021_BAKAS_B__KLUNGKUNG\KKN.XXIII.2021_BAKAS_B__KLUNGKUNG_combined.pdf
787.,KKN.XXIII.2021,NYALIAN B - KLUNGKUNG,KKN.XXIII.2021_NYALIAN_B__KLUNGKUNG\KKN.XXIII.2021_NYALIAN_B__KLUNGKUNG_combined.pdf
788.,KKN.XXIII.2021,BENGKEL (KEDIRI) - TABANAN,KKN.XXIII.2021_BENGKEL_KEDIRI__TABANAN\KKN.XXIII.2021_BENGKEL_KEDIRI__TABANAN_combined.pdf
789.,KKN.XXIII.2021,BENGKEL (PENEBEL) - TABANAN,KKN.XXIII.2021_BENGKEL_PENEBEL__TABANAN\KKN.XXIII.2021_BENGKEL_PENEBEL__TABANAN_combined.pdf
790.,KKN.XXIII.2021,KUKUH A MARGA - TABANAN,KKN.XXIII.2021_KUKUH_A_MARGA__TABANAN\KKN.XXIII.2021_KUKUH_A_MARGA__TABANAN_combined.pdf
791.,KKN.XXIII.2021,KUKUH B MARGA - TABANAN,KKN.XXIII.2021_KUKUH_B_MARGA__TABANAN\KKN.XXIII.2021_KUKUH_B_MARGA__TABANAN_combined.pdf
792.,KKN.XXIII.2021,GAYUNGAN - SURABAYA,KKN.XXIII.2021_GAYUNGAN__SURABAYA\KKN.XXIII.2021_GAYUNGAN__SURABAYA_combined.pdf
793.,KKN.XXIII.2021,LEPAK - LOMBOK TIMUR,KKN.XXIII.2021_LEPAK__LOMBOK_TIMUR\KKN.XXIII.2021_LEPAK__LOMBOK_TIMUR_combined.pdf
794.,KKN.XXIII.2021,SOLOREJO - MALANG,KKN.XXIII.2021_SOLOREJO__MALANG\KKN.XXIII.2021_SOLOREJO__MALANG_combined.pdf
795.,KKN.XXIII.2021,HALIM PERDANA KUSUMA - JAKARTA TIMUR,KKN.XXIII.2021_HALIM_PERDANA_KUSUMA__JAKARTA_TIMUR\KKN.XXIII.2021_HALIM_PERDANA_KUSUMA__JAKARTA_TIMUR_combined.pdf
796.,KKN.XXIII.2021,RAWAMANGUN - JAKARTA TIMUR,KKN.XXIII.2021_RAWAMANGUN__JAKARTA_TIMUR\KKN.XXIII.2021_RAWAMANGUN__JAKARTA_TIMUR_combined.pdf
797.,KKN.XXIII.2021,CEMPAKA PUTIH BARAT - JAKARTA PUSAT,KKN.XXIII.2021_CEMPAKA_PUTIH_BARAT__JAKARTA_PUSAT\KKN.XXIII.2021_CEMPAKA_PUTIH_BARAT__JAKARTA_PUSAT_combined.pdf
798.,KKN.XXIII.2021,SUKA - KARO,KKN.XXIII.2021_SUKA__KARO\KKN.XXIII.2021_SUKA__KARO_combined.pdf
799.,KKN.XXIII.2021,TANAH TINGGI - TANGERANG,KKN.XXIII.2021_TANAH_TINGGI__TANGERANG\KKN.XXIII.2021_TANAH_TINGGI__TANGERANG_combined.pdf
800.,KKN.XXIII.2021,PANCUR BATU - KARO,KKN.XXIII.2021_PANCUR_BATU__KARO\KKN.XXIII.2021_PANCUR_BATU__KARO_combined.pdf
801.,KKN.XXIII.2021,NGADIRENGGO - BLITAR,KKN.XXIII.2021_NGADIRENGGO__BLITAR\KKN.XXIII.2021_NGADIRENGGO__BLITAR_combined.pdf
802.,KKN.XXIII.2021,BALUNG KULON - JEMBER,KKN.XXIII.2021_BALUNG_KULON__JEMBER\KKN.XXIII.2021_BALUNG_KULON__JEMBER_combined.pdf
803.,KKN.XXIII.2021,PRAJEKAN LOR - BONDOWOSO,KKN.XXIII.2021_PRAJEKAN_LOR__BONDOWOSO\KKN.XXIII.2021_PRAJEKAN_LOR__BONDOWOSO_combined.pdf
804.,KKN.XXIII.2021,GEDONGOMBO - TUBAN,KKN.XXIII.2021_GEDONGOMBO__TUBAN\KKN.XXIII.2021_GEDONGOMBO__TUBAN_combined.pdf
805.,KKN.XXIII.2021,TIMBANUH - LOMBOK TIMUR,KKN.XXIII.2021_TIMBANUH__LOMBOK_TIMUR\KKN.XXIII.2021_TIMBANUH__LOMBOK_TIMUR_combined.pdf
806.,KKN.XXIV.2022,MUNGGU - BADUNG,KKN.XXIV.2022_MUNGGU__BADUNG\KKN.XXIV.2022_MUNGGU__BADUNG_combined.pdf
807.,KKN.XXIV.2022,CEMAGI - BADUNG,KKN.XXIV.2022_CEMAGI__BADUNG\KKN.XXIV.2022_CEMAGI__BADUNG_combined.pdf
808.,KKN.XXIV.2022,TUMBAK BAYUH - BADUNG,KKN.XXIV.2022_TUMBAK_BAYUH__BADUNG\KKN.XXIV.2022_TUMBAK_BAYUH__BADUNG_combined.pdf
809.,KKN.XXIV.2022,MENGWITANI - BADUNG,KKN.XXIV.2022_MENGWITANI__BADUNG\KKN.XXIV.2022_MENGWITANI__BADUNG_combined.pdf
810.,KKN.XXIV.2022,KEDONGANAN - BADUNG,KKN.XXIV.2022_KEDONGANAN__BADUNG\KKN.XXIV.2022_KEDONGANAN__BADUNG_combined.pdf
811.,KKN.XXIV.2022,JIMBARAN - BADUNG,KKN.XXIV.2022_JIMBARAN__BADUNG\KKN.XXIV.2022_JIMBARAN__BADUNG_combined.pdf
812.,KKN.XXIV.2022,UNGASAN - BADUNG,KKN.XXIV.2022_UNGASAN__BADUNG\KKN.XXIV.2022_UNGASAN__BADUNG_combined.pdf
813.,KKN.XXIV.2022,KUTUH - BADUNG,KKN.XXIV.2022_KUTUH__BADUNG\KKN.XXIV.2022_KUTUH__BADUNG_combined.pdf
814.,KKN.XXIV.2022,BENOA - BADUNG,KKN.XXIV.2022_BENOA__BADUNG\KKN.XXIV.2022_BENOA__BADUNG_combined.pdf
815.,KKN.XXIV.2022,DANGIN PURI KELOD - DENPASAR,KKN.XXIV.2022_DANGIN_PURI_KELOD__DENPASAR\KKN.XXIV.2022_DANGIN_PURI_KELOD__DENPASAR_combined.pdf
816.,KKN.XXIV.2022,SUMERTA KAUH - DENPASAR,KKN.XXIV.2022_SUMERTA_KAUH__DENPASAR\KKN.XXIV.2022_SUMERTA_KAUH__DENPASAR_combined.pdf
817.,KKN.XXIV.2022,SUMERTA KAJA - DENPASAR,KKN.XXIV.2022_SUMERTA_KAJA__DENPASAR\KKN.XXIV.2022_SUMERTA_KAJA__DENPASAR_combined.pdf
818.,KKN.XXIV.2022,SUMERTA KELOD - DENPASAR,KKN.XXIV.2022_SUMERTA_KELOD__DENPASAR\KKN.XXIV.2022_SUMERTA_KELOD__DENPASAR_combined.pdf
819.,KKN.XXIV.2022,KESIMAN PETILAN - DENPASAR,KKN.XXIV.2022_KESIMAN_PETILAN__DENPASAR\KKN.XXIV.2022_KESIMAN_PETILAN__DENPASAR_combined.pdf
820.,KKN.XXIV.2022,TUBAN - BADUNG,KKN.XXIV.2022_TUBAN__BADUNG\KKN.XXIV.2022_TUBAN__BADUNG_combined.pdf
821.,KKN.XXIV.2022,SIBANG KAJA - BADUNG,KKN.XXIV.2022_SIBANG_KAJA__BADUNG\KKN.XXIV.2022_SIBANG_KAJA__BADUNG_combined.pdf
822.,KKN.XXIV.2022,SEDANG - BADUNG,KKN.XXIV.2022_SEDANG__BADUNG\KKN.XXIV.2022_SEDANG__BADUNG_combined.pdf
823.,KKN.XXIV.2022,DANGIN PURI KAJA - DENPASAR,KKN.XXIV.2022_DANGIN_PURI_KAJA__DENPASAR\KKN.XXIV.2022_DANGIN_PURI_KAJA__DENPASAR_combined.pdf
824.,KKN.XXIV.2022,DANGIN PURI KANGIN - DENPASAR,KKN.XXIV.2022_DANGIN_PURI_KANGIN__DENPASAR\KKN.XXIV.2022_DANGIN_PURI_KANGIN__DENPASAR_combined.pdf
825.,KKN.XXIV.2022,DANGIN PURI KAUH - DENPASAR,KKN.XXIV.2022_DANGIN_PURI_KAUH__DENPASAR\KKN.XXIV.2022_DANGIN_PURI_KAUH__DENPASAR_combined.pdf
826.,KKN.XXIV.2022,DAUH PURI KAJA - DENPASAR,KKN.XXIV.2022_DAUH_PURI_KAJA__DENPASAR\KKN.XXIV.2022_DAUH_PURI_KAJA__DENPASAR_combined.pdf
827.,KKN.XXIV.2022,UBUNG KAJA - DENPASAR,KKN.XXIV.2022_UBUNG_KAJA__DENPASAR\KKN.XXIV.2022_UBUNG_KAJA__DENPASAR_combined.pdf
828.,KKN.XXV.2022,GETASAN - BADUNG,KKN.XXV.2022_GETASAN__BADUNG\KKN.XXV.2022_GETASAN__BADUNG_combined.pdf
829.,KKN.XXV.2022,MUNGGU - BADUNG,KKN.XXV.2022_MUNGGU__BADUNG\KKN.XXV.2022_MUNGGU__BADUNG_combined.pdf
830.,KKN.XXV.2022,KEKERAN - BADUNG,KKN.XXV.2022_KEKERAN__BADUNG\KKN.XXV.2022_KEKERAN__BADUNG_combined.pdf
831.,KKN.XXV.2022,CEMAGI - BADUNG,KKN.XXV.2022_CEMAGI__BADUNG\KKN.XXV.2022_CEMAGI__BADUNG_combined.pdf
832.,KKN.XXV.2022,PANGSAN  - BADUNG,KKN.XXV.2022_PANGSAN___BADUNG\KKN.XXV.2022_PANGSAN___BADUNG_combined.pdf
833.,KKN.XXV.2022,SULANGAI - BADUNG,KKN.XXV.2022_SULANGAI__BADUNG\KKN.XXV.2022_SULANGAI__BADUNG_combined.pdf
834.,KKN.XXV.2022,BURUAN - GIANYAR,KKN.XXV.2022_BURUAN__GIANYAR\KKN.XXV.2022_BURUAN__GIANYAR_combined.pdf
835.,KKN.XXV.2022,PEJENG KAWAN - GIANYAR,KKN.XXV.2022_PEJENG_KAWAN__GIANYAR\KKN.XXV.2022_PEJENG_KAWAN__GIANYAR_combined.pdf
836.,KKN.XXV.2022,CARANGSARI - BADUNG,KKN.XXV.2022_CARANGSARI__BADUNG\KKN.XXV.2022_CARANGSARI__BADUNG_combined.pdf
837.,KKN.XXV.2022,MAS  - GIANYAR,KKN.XXV.2022_MAS___GIANYAR\KKN.XXV.2022_MAS___GIANYAR_combined.pdf
838.,KKN.XXV.2022,GULINGAN - BADUNG,KKN.XXV.2022_GULINGAN__BADUNG\KKN.XXV.2022_GULINGAN__BADUNG_combined.pdf
839.,KKN.XXV.2022,PETAK KAJA - GIANYAR,KKN.XXV.2022_PETAK_KAJA__GIANYAR\KKN.XXV.2022_PETAK_KAJA__GIANYAR_combined.pdf
840.,KKN.XXV.2022,BATUAN  - GIANYAR,KKN.XXV.2022_BATUAN___GIANYAR\KKN.XXV.2022_BATUAN___GIANYAR_combined.pdf
841.,KKN.XXV.2022,KUWUM - BADUNG,KKN.XXV.2022_KUWUM__BADUNG\KKN.XXV.2022_KUWUM__BADUNG_combined.pdf
842.,KKN.XXV.2022,WERDI BHUANA - BADUNG,KKN.XXV.2022_WERDI_BHUANA__BADUNG\KKN.XXV.2022_WERDI_BHUANA__BADUNG_combined.pdf
843.,KKN.XXV.2022,BAHA - BADUNG,KKN.XXV.2022_BAHA__BADUNG\KKN.XXV.2022_BAHA__BADUNG_combined.pdf
844.,KKN.XXV.2022,EKASARI - JEMBRANA,KKN.XXV.2022_EKASARI__JEMBRANA\KKN.XXV.2022_EKASARI__JEMBRANA_combined.pdf
845.,KKN.XXV.2022,SEMBUNG - BADUNG,KKN.XXV.2022_SEMBUNG__BADUNG\KKN.XXV.2022_SEMBUNG__BADUNG_combined.pdf
846.,KKN.XXV.2022,YEH EMBANG - JEMBRANA,KKN.XXV.2022_YEH_EMBANG__JEMBRANA\KKN.XXV.2022_YEH_EMBANG__JEMBRANA_combined.pdf
847.,KKN.XXV.2022,AYUNAN - BADUNG,KKN.XXV.2022_AYUNAN__BADUNG\KKN.XXV.2022_AYUNAN__BADUNG_combined.pdf
848.,KKN.XXV.2022,PETANG - BADUNG,KKN.XXV.2022_PETANG__BADUNG\KKN.XXV.2022_PETANG__BADUNG_combined.pdf
849.,KKN.XXV.2022,BANTANG - BANGLI,KKN.XXV.2022_BANTANG__BANGLI\KKN.XXV.2022_BANTANG__BANGLI_combined.pdf
850.,KKN.XXV.2022,TEMBUKU - BANGLI,KKN.XXV.2022_TEMBUKU__BANGLI\KKN.XXV.2022_TEMBUKU__BANGLI_combined.pdf
851.,KKN.XXV.2022,JEHEM - BANGLI,KKN.XXV.2022_JEHEM__BANGLI\KKN.XXV.2022_JEHEM__BANGLI_combined.pdf
852.,KKN.XXV.2022,UNDISAN - BANGLI,KKN.XXV.2022_UNDISAN__BANGLI\KKN.XXV.2022_UNDISAN__BANGLI_combined.pdf
853.,KKN.XXV.2022,BANGBANG - BANGLI,KKN.XXV.2022_BANGBANG__BANGLI\KKN.XXV.2022_BANGBANG__BANGLI_combined.pdf
854.,KKN.XXV.2022,YANGAPI - BANGLI,KKN.XXV.2022_YANGAPI__BANGLI\KKN.XXV.2022_YANGAPI__BANGLI_combined.pdf
855.,KKN.XXV.2022,PENINJOAN - BANGLI,KKN.XXV.2022_PENINJOAN__BANGLI\KKN.XXV.2022_PENINJOAN__BANGLI_combined.pdf
856.,KKN.XXV.2022,TALIBENG - KARANGASEM,KKN.XXV.2022_TALIBENG__KARANGASEM\KKN.XXV.2022_TALIBENG__KARANGASEM_combined.pdf
857.,KKN.XXV.2022,PEMPATAN - KARANGASEM,KKN.XXV.2022_PEMPATAN__KARANGASEM\KKN.XXV.2022_PEMPATAN__KARANGASEM_combined.pdf
858.,KKN.XXV.2022,NONGAN - KARANGASEM,KKN.XXV.2022_NONGAN__KARANGASEM\KKN.XXV.2022_NONGAN__KARANGASEM_combined.pdf
859.,KKN.XXV.2022,MENANGA - KARANGASEM,KKN.XXV.2022_MENANGA__KARANGASEM\KKN.XXV.2022_MENANGA__KARANGASEM_combined.pdf
860.,KKN.XXV.2022,PESABAN - KARANGASEM,KKN.XXV.2022_PESABAN__KARANGASEM\KKN.XXV.2022_PESABAN__KARANGASEM_combined.pdf
861.,KKN.XXV.2022,RENDANG - KARANGASEM,KKN.XXV.2022_RENDANG__KARANGASEM\KKN.XXV.2022_RENDANG__KARANGASEM_combined.pdf
862.,KKN.XXV.2022,PERINGSARI - KARANGASEM,KKN.XXV.2022_PERINGSARI__KARANGASEM\KKN.XXV.2022_PERINGSARI__KARANGASEM_combined.pdf
863.,KKN.XXV.2022,SELAT (KARANGASEM) - KARANGASEM,KKN.XXV.2022_SELAT_KARANGASEM__KARANGASEM\KKN.XXV.2022_SELAT_KARANGASEM__KARANGASEM_combined.pdf
864.,KKN.XXV.2022,AMERTA BHUANA - KARANGASEM,KKN.XXV.2022_AMERTA_BHUANA__KARANGASEM\KKN.XXV.2022_AMERTA_BHUANA__KARANGASEM_combined.pdf
865.,KKN.XXV.2022,DUDA UTARA - KARANGASEM,KKN.XXV.2022_DUDA_UTARA__KARANGASEM\KKN.XXV.2022_DUDA_UTARA__KARANGASEM_combined.pdf
866.,KKN.XXV.2022,DUDA - KARANGASEM,KKN.XXV.2022_DUDA__KARANGASEM\KKN.XXV.2022_DUDA__KARANGASEM_combined.pdf
867.,KKN.XXV.2022,DUDA TIMUR - KARANGASEM,KKN.XXV.2022_DUDA_TIMUR__KARANGASEM\KKN.XXV.2022_DUDA_TIMUR__KARANGASEM_combined.pdf
868.,KKN.XXV.2022,GUNAKSA - KLUNGKUNG,KKN.XXV.2022_GUNAKSA__KLUNGKUNG\KKN.XXV.2022_GUNAKSA__KLUNGKUNG_combined.pdf
869.,KKN.XXV.2022,SULANG - KLUNGKUNG,KKN.XXV.2022_SULANG__KLUNGKUNG\KKN.XXV.2022_SULANG__KLUNGKUNG_combined.pdf
870.,KKN.XXV.2022,SAKTI - KLUNGKUNG,KKN.XXV.2022_SAKTI__KLUNGKUNG\KKN.XXV.2022_SAKTI__KLUNGKUNG_combined.pdf
871.,KKN.XXV.2022,KLUMPU - KLUNGKUNG,KKN.XXV.2022_KLUMPU__KLUNGKUNG\KKN.XXV.2022_KLUMPU__KLUNGKUNG_combined.pdf
872.,KKN.XXV.2022,BATUNUNGGUL - KLUNGKUNG,KKN.XXV.2022_BATUNUNGGUL__KLUNGKUNG\KKN.XXV.2022_BATUNUNGGUL__KLUNGKUNG_combined.pdf
873.,KKN.XXV.2022,PEJUKUTAN - KLUNGKUNG,KKN.XXV.2022_PEJUKUTAN__KLUNGKUNG\KKN.XXV.2022_PEJUKUTAN__KLUNGKUNG_combined.pdf
874.,KKN.XXV.2022,SUANA - KLUNGKUNG,KKN.XXV.2022_SUANA__KLUNGKUNG\KKN.XXV.2022_SUANA__KLUNGKUNG_combined.pdf
875.,KKN.XXV.2022,KUTAMPI - KLUNGKUNG,KKN.XXV.2022_KUTAMPI__KLUNGKUNG\KKN.XXV.2022_KUTAMPI__KLUNGKUNG_combined.pdf
876.,KKN.XXV.2022,TIHINGAN - KLUNGKUNG,KKN.XXV.2022_TIHINGAN__KLUNGKUNG\KKN.XXV.2022_TIHINGAN__KLUNGKUNG_combined.pdf
877.,KKN.XXV.2022,AAN - KLUNGKUNG,KKN.XXV.2022_AAN__KLUNGKUNG\KKN.XXV.2022_AAN__KLUNGKUNG_combined.pdf
878.,KKN.XXV.2022,GETAKAN - KLUNGKUNG,KKN.XXV.2022_GETAKAN__KLUNGKUNG\KKN.XXV.2022_GETAKAN__KLUNGKUNG_combined.pdf
879.,KKN.XXV.2022,TIMUHUN - KLUNGKUNG,KKN.XXV.2022_TIMUHUN__KLUNGKUNG\KKN.XXV.2022_TIMUHUN__KLUNGKUNG_combined.pdf
880.,KKN.XXV.2022,TISTA - TABANAN,KKN.XXV.2022_TISTA__TABANAN\KKN.XXV.2022_TISTA__TABANAN_combined.pdf
881.,KKN.XXV.2022,BATURITI - TABANAN,KKN.XXV.2022_BATURITI__TABANAN\KKN.XXV.2022_BATURITI__TABANAN_combined.pdf
882.,KKN.XXV.2022,SANGSIT - BULELENG,KKN.XXV.2022_SANGSIT__BULELENG\KKN.XXV.2022_SANGSIT__BULELENG_combined.pdf
883.,KKN.XXV.2022,LES - BULELENG,KKN.XXV.2022_LES__BULELENG\KKN.XXV.2022_LES__BULELENG_combined.pdf
884.,KKN.XXV.2022,AMBENGAN - BULELENG,KKN.XXV.2022_AMBENGAN__BULELENG\KKN.XXV.2022_AMBENGAN__BULELENG_combined.pdf
885.,KKN.XXV.2022,BAKTISERAGA - BULELENG,KKN.XXV.2022_BAKTISERAGA__BULELENG\KKN.XXV.2022_BAKTISERAGA__BULELENG_combined.pdf
886.,KKN.XXV.2022,SINABUN - BULELENG,KKN.XXV.2022_SINABUN__BULELENG\KKN.XXV.2022_SINABUN__BULELENG_combined.pdf
887.,KKN.XXV.2022,SUDAJI - BULELENG,KKN.XXV.2022_SUDAJI__BULELENG\KKN.XXV.2022_SUDAJI__BULELENG_combined.pdf
888.,KKN.XXV.2022,GIRI EMAS - BULELENG,KKN.XXV.2022_GIRI_EMAS__BULELENG\KKN.XXV.2022_GIRI_EMAS__BULELENG_combined.pdf
889.,KKN.XXV.2022,BONDALEM - BULELENG,KKN.XXV.2022_BONDALEM__BULELENG\KKN.XXV.2022_BONDALEM__BULELENG_combined.pdf
890.,KKN.XXV.2022,KALIAKAH - JEMBRANA,KKN.XXV.2022_KALIAKAH__JEMBRANA\KKN.XXV.2022_KALIAKAH__JEMBRANA_combined.pdf
891.,KKN.XXV.2022,BUDENG - JEMBRANA,KKN.XXV.2022_BUDENG__JEMBRANA\KKN.XXV.2022_BUDENG__JEMBRANA_combined.pdf
892.,KKN.XXV.2022,PERANCAK - JEMBRANA,KKN.XXV.2022_PERANCAK__JEMBRANA\KKN.XXV.2022_PERANCAK__JEMBRANA_combined.pdf
893.,KKN.XXV.2022,YEHKUNING - JEMBRANA,KKN.XXV.2022_YEHKUNING__JEMBRANA\KKN.XXV.2022_YEHKUNING__JEMBRANA_combined.pdf
894.,KKN.XXV.2022,PENYARINGAN - JEMBRANA,KKN.XXV.2022_PENYARINGAN__JEMBRANA\KKN.XXV.2022_PENYARINGAN__JEMBRANA_combined.pdf
895.,KKN.XXV.2022,PULUKAN - JEMBRANA,KKN.XXV.2022_PULUKAN__JEMBRANA\KKN.XXV.2022_PULUKAN__JEMBRANA_combined.pdf
896.,KKN.XXV.2022,MEDEWI - JEMBRANA,KKN.XXV.2022_MEDEWI__JEMBRANA\KKN.XXV.2022_MEDEWI__JEMBRANA_combined.pdf
897.,KKN.XXV.2022,BALER BALE AGUNG - JEMBRANA,KKN.XXV.2022_BALER_BALE_AGUNG__JEMBRANA\KKN.XXV.2022_BALER_BALE_AGUNG__JEMBRANA_combined.pdf
898.,KKN.XXV.2022,PEKUTATAN - JEMBRANA,KKN.XXV.2022_PEKUTATAN__JEMBRANA\KKN.XXV.2022_PEKUTATAN__JEMBRANA_combined.pdf
899.,KKN.XXV.2022,TEGAL CANGKRING - JEMBRANA,KKN.XXV.2022_TEGAL_CANGKRING__JEMBRANA\KKN.XXV.2022_TEGAL_CANGKRING__JEMBRANA_combined.pdf
900.,KKN.XXV.2022,DANGIN TUKADAYA - JEMBRANA,KKN.XXV.2022_DANGIN_TUKADAYA__JEMBRANA\KKN.XXV.2022_DANGIN_TUKADAYA__JEMBRANA_combined.pdf
901.,KKN.XXV.2022,TUWED - JEMBRANA,KKN.XXV.2022_TUWED__JEMBRANA\KKN.XXV.2022_TUWED__JEMBRANA_combined.pdf
902.,KKN.XXV.2022,DAWAN KALER - KLUNGKUNG,KKN.XXV.2022_DAWAN_KALER__KLUNGKUNG\KKN.XXV.2022_DAWAN_KALER__KLUNGKUNG_combined.pdf
903.,KKN.XXV.2022,PUHU - GIANYAR,KKN.XXV.2022_PUHU__GIANYAR\KKN.XXV.2022_PUHU__GIANYAR_combined.pdf
